source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,teff_gspphot,distance_gspphot,processed_at
5.2186777733922202E18,138.31563855150165,-72.61808403910922,1.03870519627213,7.886835494938661,-8.001278517777331,18.856534957885742,2.589202880859375,3417.1552734375,520.3209838867188,2025-07-02T03:57:53.356Z
5.218677807751936E18,138.2387816233751,-72.6272602252473,0.9124045438215166,-0.44495117792313343,3.7015156404246805,15.90618896484375,1.1055412292480469,5011.1025390625,1061.7503662109375,2025-07-02T03:57:53.356Z
5.2186778077519411E18,138.23270055377492,-72.61075726561289,1.252783283747666,-5.533877637675951,6.617167367245495,16.995712280273438,1.7219486236572266,4361.9326171875,880.281005859375,2025-07-02T03:57:53.356Z
5.2186778721738527E18,138.33056178005518,-72.60486558568292,1.5230569918199552,-4.893636086169008,2.0191307561792846,18.80992317199707,2.578899383544922,3375.03564453125,461.0675048828125,2025-07-02T03:57:53.356Z
4.2111750309872676E18,288.9379167136563,-6.201290819520965,2.667473308603377,6.513502629068381,-8.294794230419374,13.853410720825195,1.2978944778442383,5489.0712890625,360.71820068359375,2025-07-02T03:57:53.356Z
4.2111750309872701E18,288.9370028050378,-6.19954845236979,0.4047677576998398,-1.008039902997076,-4.549242883839607,16.70559310913086,1.33087158203125,4762.53125,1125.310546875,2025-07-02T03:57:53.356Z
4.2111750309872748E18,288.93309948432227,-6.197387362532586,0.311717170404545,5.346621419260168,0.600503548919742,18.92039680480957,1.851064682006836,3607.6767578125,488.0455017089844,2025-07-02T03:57:53.356Z
4.8280827315568589E17,73.71651514003089,66.37522800082668,0.20013846861259507,0.8516685754437265,1.1189185610789467,18.85879898071289,1.3164539337158203,4426.48291015625,1359.9322509765625,2025-07-02T03:57:53.356Z
4.8280827315919603E17,73.71754451333739,66.37626357769106,0.2486286388902444,0.7614825048102499,0.940661429489083,16.198928833007812,1.0440521240234375,5843.25048828125,1623.51171875,2025-07-02T03:57:53.356Z
4.8280827315919731E17,73.72604345857577,66.36889069589456,0.3792852736803998,0.15127450744253146,-3.5176087330245096,17.96503448486328,1.1029109954833984,4802.43603515625,1210.3128662109375,2025-07-02T03:57:53.356Z
4.8280830751892416E17,73.77330334220893,66.38357168326789,0.3355181286879573,-2.200740845899927,-3.293178225380542,18.696184158325195,1.3528709411621094,4306.80078125,766.6561889648438,2025-07-02T03:57:53.356Z
4.8280830751892557E17,73.74982982301712,66.38943322499024,0.20643007630998286,-0.22915716056447022,0.3808686332613664,16.786401748657227,0.9334869384765625,5940.87548828125,1626.933349609375,2025-07-02T03:57:53.356Z
4.8280834187865946E17,73.79408893355979,66.38356286792838,0.4644984068209473,0.8687893493486702,-1.8790396301337884,16.838356018066406,1.2018070220947266,5106.568359375,1030.572265625,2025-07-02T03:57:53.356Z
4.8280834187865997E17,73.79792683348782,66.38017296521726,0.19101692733004402,-4.785192509377902,-2.1873515108221646,14.467981338500977,1.453714370727539,5164.640625,9094.2314453125,2025-07-02T03:57:53.356Z
5.5397897620301496E18,122.8153735028865,-40.30678974341365,0.2908048402721625,-2.339995842720186,5.034504578455056,18.660354614257812,1.6100997924804688,4112.0283203125,781.4263916015625,2025-07-02T03:57:53.356Z
